,Taken from: https://afltables.com/afl/seas/ladders/laddersyby.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
31,Melbourne,6,4.0,8.0,8.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,10.0,7.0,7.0,9.0,
32,Western Bulldogs,8,8.0,9.0,6.0,5.0,7.0,5.0,8.0,8.0,4.0,6.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,7.0,9.0,11.0,10.0,
33,St Kilda,13,13.0,10.0,10.0,11.0,9.0,8.0,6.0,9.0,10.0,11.0,12.0,10.0,8.0,8.0,7.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,
34,Hawthorn,12,14.0,18.0,18.0,15.0,17.0,16.0,14.0,17.0,14.0,15.0,17.0,17.0,16.0,13.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,
35,Collingwood,11,11.0,12.0,13.0,13.0,12.0,15.0,17.0,13.0,12.0,10.0,11.0,13.0,13.0,15.0,15.0,14.0,13.0,13.0,12.0,13.0,13.0,13.0,
36,Fremantle,17,18.0,15.0,12.0,9.0,11.0,9.0,9.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,
37,North Melbourne,15,12.0,17.0,17.0,17.0,15.0,14.0,16.0,14.0,13.0,13.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,15.0,
38,Carlton,16,16.0,14.0,14.0,16.0,14.0,13.0,13.0,16.0,17.0,17.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,15.0,16.0,
39,Gold Coast,10,17.0,11.0,9.0,12.0,13.0,11.0,12.0,15.0,16.0,14.0,13.0,14.0,14.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,
40,Brisbane Lions,9,10.0,13.0,15.0,14.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
41,[Top],,,,,,,,,,,,,,,,,,,,,,,,
42,2016 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
43,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
44,Sydney,2,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,
45,Geelong,5,6.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,6.0,7.0,4.0,4.0,5.0,4.0,3.0,2.0,
