team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,year
Essendon,9.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,1991
Collingwood,3.0,8.0,5.0,6.0,4.0,7.0,6.0,8.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,1991
North Melbourne,6.0,2.0,9.0,11.0,12.0,10.0,9.0,7.0,7.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0,6.0,8.0,8.0,1991
Adelaide,2.0,6.0,6.0,9.0,10.0,8.0,11.0,12.0,12.0,9.0,10.0,10.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1991
Footscray,13.0,13.0,14.0,12.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,1991
Carlton,10.0,3.0,2.0,5.0,8.0,6.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,1991
Sydney,5.0,14.0,12.0,10.0,11.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1991
Richmond,12.0,11.0,11.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1991
Fitzroy,8.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,1991
Brisbane Bears,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,1991
